image_path,filename,probability,prediction
../deep-histopath/data/mitoses/patches/train/normal/1_04_54_384_0_0_0_0_.png,1_04_54_384_0_0_0_0_.png,0.00011293556599412113,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_19_08_528_288_0_0_0_.png,1_19_08_528_288_0_0_0_.png,4.717311094282195e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_22_34_1584_144_0_0_0_.png,1_22_34_1584_144_0_0_0_.png,0.0001212885690620169,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_12_01_288_192_0_0_0_.png,1_12_01_288_192_0_0_0_.png,1.2405709640006535e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_50_01_5232_576_0_0_0_.png,3_50_01_5232_576_0_0_0_.png,6.379469414241612e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_51_01_960_4848_0_0_0_.png,3_51_01_960_4848_0_0_0_.png,2.8094518711441197e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_18_63_1968_1776_0_0_0_.png,1_18_63_1968_1776_0_0_0_.png,2.2453366455010837e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_04_40_384_1056_0_0_0_.png,1_04_40_384_1056_0_0_0_.png,2.4644255063321907e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_26_01_4080_2256_0_0_0_.png,2_26_01_4080_2256_0_0_0_.png,3.1118850074562943e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_49_01_4176_2976_0_0_0_.png,3_49_01_4176_2976_0_0_0_.png,1.6891748600755818e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_14_05_1296_912_0_0_0_.png,1_14_05_1296_912_0_0_0_.png,8.122532562993001e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_18_61_672_864_0_0_0_.png,1_18_61_672_864_0_0_0_.png,0.010700328275561333,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_47_01_1440_5184_0_0_0_.png,2_47_01_1440_5184_0_0_0_.png,6.788298924220726e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_18_61_96_1392_0_0_0_.png,1_18_61_96_1392_0_0_0_.png,4.154261660005432e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_62_01_2064_768_0_0_0_.png,3_62_01_2064_768_0_0_0_.png,5.827509085065685e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_02_08_816_336_0_0_0_.png,1_02_08_816_336_0_0_0_.png,0.0017800565110519528,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_12_10_768_960_0_0_0_.png,1_12_10_768_960_0_0_0_.png,9.937756658473518e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_01_27_480_1344_0_0_0_.png,1_01_27_480_1344_0_0_0_.png,0.0004886776441708207,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_23_07_912_624_0_0_0_.png,1_23_07_912_624_0_0_0_.png,6.1034224927425385e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_72_01_1872_4464_0_0_0_.png,3_72_01_1872_4464_0_0_0_.png,1.5052126400405541e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_53_01_4608_5232_0_0_0_.png,3_53_01_4608_5232_0_0_0_.png,0.0012466225307434797,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_06_28_1632_144_0_0_0_.png,1_06_28_1632_144_0_0_0_.png,1.8108884205503273e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_04_24_624_912_0_0_0_.png,1_04_24_624_912_0_0_0_.png,1.51429298966832e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_37_01_1536_4656_0_0_0_.png,2_37_01_1536_4656_0_0_0_.png,7.036348688416183e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_19_02_288_1920_0_0_0_.png,1_19_02_288_1920_0_0_0_.png,0.08776123076677322,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_27_01_1344_2400_0_0_0_.png,2_27_01_1344_2400_0_0_0_.png,6.502059022750473e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_57_01_1920_480_0_0_0_.png,3_57_01_1920_480_0_0_0_.png,1.3983129747430212e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_15_36_1200_1488_0_0_0_.png,1_15_36_1200_1488_0_0_0_.png,1.92702441381698e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_26_01_1152_2688_0_0_0_.png,2_26_01_1152_2688_0_0_0_.png,6.192641194502357e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_18_67_1296_1584_0_0_0_.png,1_18_67_1296_1584_0_0_0_.png,0.00010298195411451161,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_20_04_336_288_0_0_0_.png,1_20_04_336_288_0_0_0_.png,1.4254408597480506e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_53_01_4176_5088_0_0_0_.png,3_53_01_4176_5088_0_0_0_.png,0.0005935021908953786,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_22_04_912_576_0_0_0_.png,1_22_04_912_576_0_0_0_.png,9.974704880733043e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_01_39_528_1152_0_0_0_.png,1_01_39_528_1152_0_0_0_.png,6.955022399779409e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_06_40_288_240_0_0_0_.png,1_06_40_288_240_0_0_0_.png,2.8392687454470433e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_19_03_1968_1440_0_0_0_.png,1_19_03_1968_1440_0_0_0_.png,1.754763252392877e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_10_03_864_480_0_0_0_.png,1_10_03_864_480_0_0_0_.png,4.01781062464579e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_20_02_1008_720_0_0_0_.png,1_20_02_1008_720_0_0_0_.png,1.5311438801290933e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_23_16_1248_1536_0_0_0_.png,1_23_16_1248_1536_0_0_0_.png,1.6125297861435683e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_04_44_768_1008_0_0_0_.png,1_04_44_768_1008_0_0_0_.png,1.8030830688076094e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_61_01_3120_2736_0_0_0_.png,3_61_01_3120_2736_0_0_0_.png,1.8722568711382337e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_51_01_2256_624_0_0_0_.png,3_51_01_2256_624_0_0_0_.png,5.285662700771354e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_15_10_576_240_0_0_0_.png,1_15_10_576_240_0_0_0_.png,5.085252632852644e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/3_58_01_3168_4992_0_0_0_.png,3_58_01_3168_4992_0_0_0_.png,8.553171028324869e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_21_42_192_1104_0_0_0_.png,1_21_42_192_1104_0_0_0_.png,4.4303626054897904e-05,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_06_18_1248_1344_0_0_0_.png,1_06_18_1248_1344_0_0_0_.png,7.865006409701891e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/2_33_01_3936_2976_0_0_0_.png,2_33_01_3936_2976_0_0_0_.png,3.5345356081961654e-06,Negative
../deep-histopath/data/mitoses/patches/train/normal/1_04_06_240_1632_0_0_0_.png,1_04_06_240_1632_0_0_0_.png,1.569522100908216e-05,Negative
