2025-03-13 01:06:04,211 - INFO - Found 4000 images to process
2025-03-13 01:06:06,846 - INFO - Processed 1_01_07_480_1248_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,856 - INFO - Processed 1_01_29_96_0_0_0_0_.png - Original: 0.0004, New: 0.0001, Diff: 0.0003
2025-03-13 01:06:06,870 - INFO - Processed 1_01_28_384_1296_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,889 - INFO - Processed 1_01_26_96_1008_0_0_0_.png - Original: 0.0001, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,921 - INFO - Processed 1_01_06_912_624_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,925 - INFO - Processed 1_01_37_1968_528_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,926 - INFO - Processed 1_01_21_1392_48_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,928 - INFO - Processed 1_01_15_48_192_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,929 - INFO - Processed 1_01_30_480_1440_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,929 - INFO - Processed 1_01_15_240_1152_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,949 - INFO - Processed 1_01_31_1536_192_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,961 - INFO - Processed 1_01_08_720_816_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,982 - INFO - Processed 1_01_12_624_1536_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,985 - INFO - Processed 1_01_31_1008_1200_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,990 - INFO - Processed 1_01_31_672_0_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:06,998 - INFO - Processed 1_01_10_864_1296_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:09,101 - INFO - Processed 1_01_14_1632_528_0_0_0_.png - Original: 0.0002, New: 0.0001, Diff: 0.0001
2025-03-13 01:06:09,131 - INFO - Processed 1_01_12_624_432_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
2025-03-13 01:06:09,147 - INFO - Processed 1_01_28_1104_192_0_0_0_.png - Original: 0.0000, New: 0.0000, Diff: 0.0000
